Date,Confirmed
2022-01-06,300954261
2022-01-07,303880802
2022-01-08,306024076
2022-01-09,308036015
2022-01-10,311200411
2022-01-11,314288934
2022-01-12,317808460
2022-01-13,320978044
2022-01-14,324258141
2022-01-15,326706893
2022-01-16,328853466
2022-01-17,331550579
2022-01-18,335338599
2022-01-19,339544825
2022-01-20,343236032
2022-01-21,347046640
2022-01-22,349765445
2022-01-23,352183162
2022-01-24,355659456
2022-01-25,359318800
2022-01-26,363149477
2022-01-27,366844567
2022-01-28,370445049
2022-01-29,373099755
2022-01-30,375362177
2022-01-31,378938321
2022-02-01,382235172
2022-02-02,385449876
2022-02-03,388612856
2022-02-04,391537423
2022-02-05,393762567
2022-02-06,395579009
2022-02-07,398122578
2022-02-08,400964766
2022-02-09,403420224
2022-02-10,406187009
2022-02-11,408573663
2022-02-12,410401148
2022-02-13,411852451
2022-02-14,413642548
2022-02-15,415427874
2022-02-16,417844966
2022-02-17,419878748
2022-02-18,421818732
2022-02-19,423370870
2022-02-20,424637214
2022-02-21,426094742
2022-02-22,427900601
2022-02-23,429840112
2022-02-24,431595544
2022-02-25,433187362
2022-02-26,434516135
2022-02-27,435581368
2022-02-28,436984842
2022-03-01,438521701
2022-03-02,440173147
2022-03-03,442060603
2022-03-04,443760741
